KODE DMS;KODE SCYLLA;NAMA BARANG;ISI/LSN; QTY STOK UPDATE(PCS) 
G000029;10029;GAR PURE ACT 100 SENSITIVE GEL/;12;220
G000036;10036;GAR PURE ACT 50 SENSITIVE GEL/2;24;818
G00029;29;GAR LIGHT COMPL FOAM 100ML/12  ;12;8.357
G00036;36;GAR LIGHT COMPL FOAM 50ML/24   ;24;11.614
G00043;43;GAR LIGHT COMPL TONER 150ML/12 ;12;60
G00231;231;GAR NRL TONIC A-LOSS GD200ML/1 ;12;11
G00262;262;GAR NRL TONIC COOL&FR100ML/12  ;12;91
G00286;286;GAR NRL SHAMPO A-LOSS GD200ML/ ;12;60
G00293;293;GAR NRL SHAMPO A-LOSS GD100M/1 ;12;85
G00439;439;GAR NRL TONIC A-DANDFF 200ML/1 ;12;14
G00460;460;GAR NRL SHAMPO A-DANDFF 200ML/ ;12;23
G00548;548;GAR LIGHT COMPL PEELOF MASK/96 ;96;6.901
G00593;593;GAR LIGHT COMPL SCRUB 50ML/24  ;24;8.858
G00609;609;GAR LIGHT COMPL SCRUB 100ML/12 ;12;4.683
G00982;982;GAR LC SUPER UV NATURAL 30ML EB;12;33
G01187;1187;GAR SAKURA CLEANSER 9ML/1225  ;300;21.420
G01194;1194;GAR LIGHT COMPL FOAM 9ML/1225 ;300;15.816
G01323;1323;GMEN TLOC INTENSIV 3IN1 FOAM 10;12;1.914
G01378;1378;GMEN TLOC INTENSIV 3IN1 FOAM 50;24;1.032
G02005;2005;GAR CLEAN MICELLAR WTR 400ML-BI;6;77
G02429;2429;GAR LIGHT COMP YUZU SPF19 20 ML;24;727
G02672;2672;GAR LIGHT COMP NIGHT YOGHURT 7M;300;5.424
G02979;2979;GAR SW BODY LOTION 400ML EBT/12;12;2
G03662;3662;GAR SW DAY CREAM SPF21 20ML EB/;24;158
G047411;47411;GMEN PW WHITE SPR DUO FOAM50/12;12;3.005
G047435;47435;GMEN PW WHITE SPR DUO /12      ;12;4.295
G06076;6076;GAR ACNO FIGHT PEEL OFF MASK 2;96;2.361
G09050;9050;GAR CLEAN MICELLAR WTR 50ML-PIN;48;3.508
G09143A;09143A ;GMEN TLOC FOAM 50ML/24         ;24;5.901
G09167;9167;GMEN TLOC FOAM 100ML/12        ;12;4.621
G09181A;09181A ;GMEN TLOC ICY SCRUB 50ML/24    ;24;5.659
G09204;9204;GMEN TLOC ICY SCRUB 100ML/12   ;12;5.306
G09343;9343;GAR ALOE VERA GEL MASK 2X6ML AS;96;1.544
G09398;9398;GSN SAKURA CLAY MASK 2 x 6 ML/9;96;547
G09534;9534;GAR SAKURA WHITE WHIP FOAM 100M;12;134
G09910;9910;GAR COLOR NAT SCH-RCG EX 1/12  ;12;744
G10004;10004;GAR LC YUZU SUPER ESS 7.5 ML SC;144;950
G10293;10293;GAR LIGHT COMPL CREAM 20ML/24  ;24;7.622
G10316;10316;GAR LIGHT COMPL CREAM 40ML/12  ;12;235
G10721;10721;GAR SAKURA HYALURON SERUM 30 ML;12;67
G11322;11322;GAR LC UV MATTE 30ML AS        ;12;107
G11377;11377;GAR LC DARK SPOT SERUM 30ML EBT;12;144
G11476;11476;GAR LIGHT COMP UV MATTE 15ML   ;48;199
G11575;11575;GAR SW SERUM 7.5 ML SCH BOX/144;144;778
G11715;11715;GAR COLOR NAT SCH-RCG EX 3.16/1;12;352
G11715A;11715A ;GAR COLOR NAT SCH-BOX EX 3.16  ;96;678
G12022;12022;GRN MEN LOSS GUARD SHP 200ML EB;12;234
G12549;12549;GAR BODY LIGHT ASEAN EX 400 EBT;12;5
G12985;12985;GSN PA HAND CLEANSING GL 125/24;24;1
G13524;13524;GAR SW BOOSTER SERUM 15ML AS   ;24;79
G13609;13609;GAR LC HANDCREAM 50ML EB\24    ;24;13
G13623;13623;GAR SW HANDCREAM 50ML EB\24    ;24;3
G13746;13746;GAR LC DARK SPOT SERUM 15ML EB/;24;182
G13845;13845;GAR MICELLAR BRIGH VIT C 125ML/;24;565
G13869;13869;GAR MICELLAR BRIGH VIT C 400ML/;6;96
G14194;14194;GAR MICELLAR ROSE 125ML/24     ;24;498
G14217;14217;GAR MICELLAR ROSE 400ML/6      ;6;7
G14224;14224;GAR LIGHT COMP UV MAT 7ML/120  ;120;410
G14451;14451;GAR LIGHT COMPL SCH SPOT 7ML/3 ;300;49.524
G14897;14897;GAR SAKURA GLOW ESS 100ML/12   ;12;359
G14910;14910;GAR SAKURA GLOW ESS 30ML/24    ;24;119
G15139;15139;BC ANTIACNE 3IN1 FOAM 50ML EB/2;24;3
G15153;15153;BC ANTIACNE 3IN1 FOAM 90ML EB/1;12;60
G15298;15298;GMEN ACNO FIGHT FOAM 100ML/12  ;12;3.288
G16052;16052;GCN BDL EX1+ASEAN 5.32+GMN SHP ;20;18
G16967A;169672;GMEN ACNO FIGHT FOAM 50ML/24   ;24;10.724
G17881;17881;GAR MICELLAR BI-PHASE 50ML/48  ;48;426
G19524;19524;GAR PURE ACT FOAM 100ML/12     ;12;3.547
G19562;19562;GAR PURE ACT SCRUB 100ML/12    ;12;1.631
G27465;27465;GAR CLR NAT HAIR -1 NAT BLACK/1;12;162
G27472;27472;GAR CLR NAT HAIR -3 DARKES BRW/;12;201
G27489;27489;GAR CLR NAT HAIR - 3.16 BURGUND;12;133
G27496;27496;GAR CLR NAT HAIR - 4 BROWN/12  ;12;169
G29558;29558;GAR CLEAN MICELAR WTR 125ML-BLU;24;3.040
G29565;29565;GAR CLEAN MICELAR WTR 400ML-BLU;6;227
